product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,product_type,id,mean_of_ratings
"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,399.0,1.099,64%,4.2,24.269,USBCables,0,Good
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,199.0,349.0,43%,4.0,43.994,USBCables,1,Average
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,199.0,1.899,90%,3.9,7.928,USBCables,2,Average
"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,329.0,699.0,53%,4.2,94.363,USBCables,3,Good
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,154.0,399.0,61%,4.2,16.905,USBCables,4,Good
"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,149.0,1.0,85%,3.9,24.871,USBCables,5,Average
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,176.63,499.0,65%,4.1,15.188,USBCables,6,Good
MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,229.0,299.0,23%,4.3,30.411,USBCables,7,Good
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,499.0,999.0,50%,4.2,1.79,WirelessUSBAdapters,8,Good
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,199.0,299.0,33%,4.0,43.994,USBCables,9,Average
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,154.0,339.0,55%,4.3,13.391,USBCables,10,Good
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,299.0,799.0,63%,4.2,94.363,USBCables,11,Good
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,219.0,700.0,69%,4.4,4.26,HDMICables,12,Good
"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,350.0,899.0,61%,4.2,2.262,USBCables,13,Good
Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,159.0,399.0,60%,4.1,4.768,USBCables,14,Good
MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,349.0,399.0,13%,4.4,18.757,USBCables,15,Good
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,13.999,24.999,44%,4.2,32.84,SmartTelevisions,16,Good
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,249.0,399.0,38%,4.0,43.994,USBCables,17,Average
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,199.0,499.0,60%,4.1,13.045,USBCables,18,Good
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,13.49,21.99,39%,4.3,11.976,SmartTelevisions,19,Good
"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,970.0,1.799,46%,4.5,815.0,USBCables,20,Good
"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,279.0,499.0,44%,3.7,10.962,HDMICables,21,Average
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,13.49,22.9,41%,4.3,16.299,SmartTelevisions,22,Good
Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,59.0,199.0,70%,4.0,9.378,USBCables,23,Average
Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,11.499,19.99,42%,4.3,4.703,SmartTelevisions,24,Good
Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,199.0,699.0,72%,4.2,12.153,HDMICables,25,Good
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,14.999,19.999,25%,4.2,34.899,SmartTelevisions,26,Good
"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,299.0,399.0,25%,4.0,2.766,USBCables,27,Average
"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,970.0,1.999,51%,4.4,184.0,USBCables,28,Good
"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,299.0,999.0,70%,4.3,20.85,USBCables,29,Good
"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,199.0,750.0,73%,4.5,74.976,USBCables,30,Good
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,179.0,499.0,64%,4.0,1.934,USBCables,31,Average
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,389.0,1.099,65%,4.3,974.0,USBCables,32,Good
"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,599.0,599.0,0%,4.3,355.0,USBCables,33,Good
"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,199.0,999.0,80%,3.9,1.075,USBCables,34,Average
"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,99.0,666.66,85%,3.9,24.871,USBCables,35,Average
"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,899.0,1.9,53%,4.4,13.552,USBCables,36,Good
"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,199.0,999.0,80%,4.0,576.0,USBCables,37,Average
OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,32.999,45.999,28%,4.2,7.298,SmartTelevisions,38,Good
"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",Computers&Accessories,970.0,1.999,51%,4.2,462.0,USBCables,39,Good
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,209.0,695.0,70%,4.5,1.07,USBCables,40,Good
Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,19.999,34.999,43%,4.3,27.151,SmartTelevisions,41,Good
